Key,Median Age,Population,White,Black,Asian,Hispanic,Poverty Count,Household Income,Per Capita Income,Zip Code
137,34.1,43323,32534,2397,4659,4434,3783,122266,71446,94117
138,25.6,3090,1040,633,461,980,1588,49271,15886,94130
139,21.9,14971,8532,703,4123,2020,1480,53173,33580,94305
140,41,27549,19672,1014,3152,7246,2829,78301,35617,94518
141,47,3103,2516,80,25,753,305,78750,42095,94525
142,33.9,72349,31032,11752,10035,26691,11523,57316,24388,94533
143,33.5,78096,31809,7563,19127,36190,10233,62660,24166,94544
144,37.4,28355,21898,326,502,11447,2813,65891,34815,94559
145,36.4,9798,4600,1168,2107,2863,1388,70227,28842,94572
146,37,29167,14340,2231,7282,10638,2529,80188,29268,94580
147,33.1,29501,11489,6220,5664,7194,4483,70491,26525,94585
148,37.4,30593,11581,7747,7223,9323,5437,57316,22494,94589
149,38.8,43116,11201,20234,2805,10693,8608,62061,31144,94605
150,40.3,42212,27437,1154,2118,15160,6488,82231,47628,94901
151,32.7,43370,31769,993,2649,10119,6473,60344,27086,94928
152,40.6,37943,29273,312,2133,8265,3055,83713,36188,94954
153,46.8,1314,1237,0,25,46,85,250001,122798,94957
154,41.4,7116,6276,28,172,689,646,70833,35240,95005
155,28.1,11080,7056,97,213,9782,2303,52132,14821,95012
156,34.2,6252,3891,30,162,5140,1405,34323,18913,95019
157,35.2,47227,39220,659,2847,8431,11638,62145,38071,95060
158,19.5,9692,5237,174,2742,2717,343,40972,5342,95064
159,37.7,28124,17867,1357,2679,11906,5300,44306,23931,95204
160,32.4,49632,22546,6281,7776,18096,11445,39219,20871,95207
161,35,43362,19660,4906,10639,12305,6111,72461,26125,95209
162,33.4,23635,15622,256,640,15056,5883,42991,18128,95215
163,44.3,7371,5960,2,61,2336,677,61486,30755,95220
164,57.4,2884,2793,0,28,166,197,53333,39655,95223
165,46.1,4498,4322,12,76,448,436,71786,34065,95228
166,30.8,4806,3094,443,243,2976,747,35833,11887,95231
167,33.2,48065,30240,500,4128,20970,9782,43364,20596,95240
168,53,1958,1896,4,0,250,559,58125,31786,95245
169,47.8,3882,3359,100,175,1134,381,75466,37323,95258
170,53.4,2163,2077,0,0,99,152,41417,28829,95310
171,61.5,1831,1709,20,9,262,215,45682,24771,95311
172,31.9,1077,957,0,0,469,168,42358,24753,95313
173,56.3,3263,3053,0,26,330,487,47165,32233,95321
174,34.5,9025,7316,83,109,5801,2261,37578,22001,95322
175,39.2,1083,904,0,19,352,128,51528,23338,95323
176,40.8,7901,5649,688,91,1585,763,50833,20505,95327
177,48.4,2650,2301,16,14,349,188,57000,27976,95329
178,33.3,2793,2026,29,16,2063,831,46146,18238,95333
179,34.7,47808,34033,1488,2125,19934,7059,59694,23483,95336
180,26.7,32787,13806,1494,3531,21591,12238,32957,12750,95341
181,36,32827,22367,1251,3807,9521,4047,66286,32974,95356
182,30.7,13826,9954,123,733,7000,1163,71730,24256,95368
183,39.3,1011,698,3,4,396,213,49141,22083,95369
184,36,2068,1922,0,0,206,205,72917,28479,95372
185,37.3,1702,1187,35,0,717,361,45132,28328,95374
186,32.8,41865,34033,940,1243,20564,9016,41302,19841,95380
187,54.6,3471,3366,0,0,75,418,47273,31924,95383
188,33.1,10324,7305,158,232,4309,2231,52695,19383,95386
189,55.2,1599,1377,11,58,191,251,56458,32931,95421
190,45.5,1726,1582,1,71,185,425,64821,24117,95426
191,50.7,5965,5431,151,96,718,817,56768,35212,95436
192,46,14578,12467,117,209,3569,3165,40924,25557,95437
193,44.6,1909,1190,24,13,745,193,71250,31984,95441
194,60.3,1792,1701,43,37,226,135,38050,31609,95445
195,36.5,1679,1275,0,81,449,381,39931,24708,95449
196,52.9,1164,1039,34,0,53,276,41016,35490,95462
197,47,2412,1685,103,143,251,791,35000,20778,95464
198,46.1,1381,1044,9,20,453,239,46250,22852,95468
199,40,1979,1842,9,4,180,496,49167,26106,95469
200,43.8,2607,2278,0,5,379,559,31875,19753,95485
201,42.5,1191,1065,0,5,44,146,45625,22879,95528
202,48,1158,1114,0,8,24,127,63750,31180,95547
203,47.5,1453,1066,0,19,144,410,35795,21162,95551
204,42.3,3437,3088,10,43,231,489,40750,20693,95562
205,52.2,2079,1849,18,40,120,235,51779,35159,95570
206,31.7,14595,8911,900,1357,5719,3275,42266,19543,95605
207,44.2,60199,47598,3814,2516,7072,8680,56891,36796,95608
208,23.3,49093,30148,1612,11856,7089,14485,46170,28216,95616
209,45.8,5075,4814,0,41,520,513,64821,30014,95619
210,40.9,5871,5042,57,191,885,614,56667,25711,95626
211,48.5,6375,6059,36,17,503,799,67284,31701,95631
212,44.4,3206,3111,15,15,564,281,49583,24584,95634
213,51.5,6912,6256,11,130,580,556,48879,30112,95642
214,34,2091,1586,32,85,1223,452,38917,18235,95645
215,35.1,4205,2572,434,685,545,760,78750,28586,95655
216,59.1,5170,4638,19,70,490,705,49336,30254,95666
217,37.8,1471,1322,0,43,355,372,52292,20257,95681
218,53.2,4356,4006,0,105,359,476,62339,35343,95685
219,65.7,1131,1096,0,0,3,48,61510,36615,95689
220,50,6153,5153,127,398,911,681,85417,38032,95693
221,38.8,9828,7555,53,96,4656,869,62083,31650,95694
222,45.8,8816,8168,1,191,761,1262,57908,28904,95726
223,34.1,13918,8339,2435,1256,3034,4212,38889,24438,95817
224,37.1,18846,15997,530,704,2505,980,96633,49763,95819
225,22.7,1622,1092,219,90,225,140,38170,17107,95903
226,34.4,3313,2534,7,45,1304,634,52083,24464,95917
227,35.9,7651,6570,75,186,4008,1121,52031,25504,95932
228,39.8,4229,4021,0,21,469,474,64375,31000,95938
229,52.3,9694,8689,154,159,571,1382,62351,34184,95946
230,52.3,1770,1602,0,0,181,229,38594,25930,95947
231,35.8,1250,789,0,0,700,432,32500,14038,95968
232,51.2,27850,25814,36,311,1933,3793,47379,27308,95969
233,26.6,1730,1419,55,21,212,160,40313,21709,95977
234,43.4,34260,29496,353,777,2794,5514,45694,28501,96001
235,39.5,32943,27165,456,1820,3318,5286,44721,23845,96002
236,40.6,23354,20914,137,323,2989,4611,39542,20922,96007
237,37.1,10121,8334,131,98,1273,1981,46394,20788,96019
238,51.5,2438,2261,2,2,94,288,51083,30032,96020
239,48.6,2390,2135,16,22,40,325,47267,24523,96027
240,43.4,2518,1950,23,127,247,549,46719,23060,96032
241,52.4,1264,1070,0,0,68,350,42500,26857,96051
242,50.7,1693,1651,0,0,243,221,56273,27906,96056
243,52.3,1180,1111,0,0,69,184,62500,33110,96062
244,46.5,6446,5205,382,236,664,978,48750,25263,96094
245,55.4,1129,893,10,0,89,132,41875,31608,96107
246,50.1,1629,1574,1,0,249,145,46058,23492,96118
247,42.9,1079,761,10,4,79,188,61000,24320,96120
248,40.1,2203,2074,0,0,1008,451,37462,20849,96134
249,40,29001,22585,393,1280,7900,4022,51400,28713,96150
