,Median Age,Population,White,Black,Asian,Hispanic,Poverty Count,Household Income,Per Capita Income,Zip Code,Review Count,Price,Average Rating
197,40.6,45502,35991,499,5268,8415,2293,109810,47761,91320,4763,,4.123766534
198,34.1,34664,24914,946,2819,16511,5459,62237,29167,91321,7765,,4.341661301
199,35.1,29689,15879,2412,4986,10580,4696,63368,29927,91324,8366,,4.247728903
200,34.9,33558,19482,2787,5371,10870,5820,60593,31574,91325,7448,,4.433472073
201,44.4,36168,19985,1193,11689,4557,2230,101656,44407,91326,8665,,4.081996538
202,32.2,101536,60854,3442,5544,87635,20093,53714,15854,91331,4287,,4.489503149
203,36.8,80161,54974,3535,8999,41565,16407,51263,22064,91335,9999,,4.225272527
204,31.6,35681,21618,1044,331,32641,6246,55463,17122,91340,3615,,4.330843707
205,34.3,95222,68705,3705,5335,72845,14968,63895,20907,91342,4726,,4.458421498
206,33.2,64323,30662,2530,8498,38924,14585,58285,22545,91343,6044,,4.471624752
207,42,53290,31416,2198,8424,17110,3896,81335,34436,91344,9161,,4.113524724
208,38.7,18763,10646,344,1937,13005,1992,65818,22664,91345,5215,,4.261553212
209,37.5,37400,28059,1255,3580,10278,2111,101695,36088,91350,6700,,4.335746269
210,36.5,33247,24071,1002,2743,14952,4239,70663,27899,91351,5523,,4.324913996
211,33.8,47079,35884,793,2837,34164,9344,51047,18261,91352,7555,,4.238186631
212,37.3,30058,20629,1850,5282,5081,1381,116009,44217,91354,6044,,4.199040371
213,39.6,33129,24265,785,4200,6941,2008,89889,41957,91355,6275,,4.215697211
214,42.6,29728,22641,1089,1922,5158,3126,68817,45351,91356,11755,,4.268821778
215,42.4,43222,34832,338,3491,9410,3904,90459,39136,91360,5530,,4.313471971
216,49,20808,17809,228,1172,2117,1115,109966,66988,91361,11172,,4.078097028
217,44.9,35862,29761,477,3377,5762,1718,103894,55411,91362,7159,,4.353890208
218,43.2,27607,21458,1510,1907,3827,1960,96635,50814,91364,7064,,4.271659117
219,40.9,42319,30488,1750,5876,4902,3995,80751,45621,91367,10216,,4.197826938
220,41.7,14885,11836,168,2019,1039,676,121348,57106,91377,5736,,4.234832636
221,38,20790,13972,617,4487,3147,1193,117835,51772,91381,8470,,4.352715466
222,33.7,29676,20348,1706,2004,11238,1877,102744,29058,91384,2659,,4.493606619
223,34.5,44106,28191,2954,5066,16376,4094,84930,33274,91387,5083,,4.366614204
224,41.5,20546,15712,366,1591,4074,1197,108391,39545,91390,3837,,4.355355747
225,35.7,41019,24253,2158,2332,18366,9082,49153,26945,91401,9562,,4.442742104
226,31.8,71765,33571,1895,11352,52641,19411,39095,15208,91402,6082,,4.472870766
227,41.4,24579,19888,1484,1800,2266,1781,83241,59600,91403,13168,,4.17709599
228,33.5,54356,22261,2000,4289,34059,13599,39472,18533,91405,6640,,4.421009036
229,35,55385,24937,2653,4557,31543,10847,49764,23411,91406,9504,,4.359164562
230,33.4,25290,18028,1242,1934,12613,5209,47126,27827,91411,8515,,4.420434527
231,39.1,34140,27572,1840,2293,4249,2789,81753,55895,91423,12291,,4.227239443
232,47.3,14353,12710,161,1198,649,554,137683,81785,91436,9698,,4.280676428
233,38.8,20110,15062,552,1977,2854,3053,61048,31122,91501,10835,,4.120350715
234,38.6,12080,8433,446,1130,4615,2373,40083,25234,91502,11504,,4.115220793
235,38.5,26833,17873,586,4469,6316,2353,74006,36537,91504,10075,,4.210322581
236,38.1,30985,22387,936,2995,8257,3052,80389,39816,91505,19450,,4.346426735
237,43.7,18125,13508,171,1945,4988,1596,73661,39613,91506,18902,,4.343746693
238,33.4,39318,25770,3022,3116,15269,8556,50275,29995,91601,11916,,4.294561934
239,38.7,18615,13869,1329,1516,2621,2016,72417,51522,91602,13554,,4.334329349
240,40.5,30386,24788,1590,2230,2975,1874,94583,69356,91604,13068,,4.208065504
241,34,55377,33441,2179,4148,33841,12849,44913,18574,91605,11203,,4.33531197
242,35.2,45040,28500,2066,2506,24471,9423,42273,20850,91606,11693,,4.303771487
243,37.6,31405,24618,2213,1994,7437,3568,56096,38838,91607,7117,,4.22080933
244,40.1,40870,29303,2232,3494,14896,2881,83426,33684,91701,7179,,4.398941357
245,29.5,61968,27058,1682,5837,41977,8576,59027,18844,91702,3778,,4.298438327
246,33.5,77667,27093,1612,13476,58886,12283,53693,16491,91706,4627,,4.432245515
247,36.2,2893,1000,355,747,873,51,82833,11831,91708,6289,,4.389648593
248,38.1,77266,37157,3195,25645,21332,5180,97222,36145,91709,5701,,4.31143659
249,36.4,87071,46591,4452,9616,46227,8557,72969,23041,91710,6997,,4.347434615
250,39,36957,24929,1585,5662,9146,3264,94509,40627,91711,10844,,4.054177425
251,36.3,35407,17132,825,3946,23419,3197,69708,23748,91722,8642,,4.330652627
252,33.7,19258,9095,912,2000,11200,2214,60053,24720,91723,9508,,4.269615061
253,39.9,26190,14110,899,3535,13311,2721,80797,30131,91724,6571,,4.38540557
254,33.4,68807,41289,8834,7926,27584,8667,63567,26492,91730,6824,,4.375073271
255,36.3,30179,14576,143,8731,19738,7346,34554,14693,91731,9118,,4.041072604
256,34.9,62855,32356,321,18409,40835,13780,44421,16516,91732,4175,,4.207904192
257,34.7,44622,25872,94,9126,33788,10213,40841,14658,91733,9397,,4.121049271
258,40.3,25508,17448,2106,3049,7435,1813,99333,39040,91737,6272,,4.254464286
259,36.5,38681,22072,3542,7231,14719,1641,100336,36671,91739,10080,,4.266914683
260,40.9,26555,17776,855,2609,10010,2842,68487,27682,91740,3889,,4.357032656
261,41.3,25780,19893,349,2732,6019,2046,88612,40398,91741,5574,,4.351004665
262,32.8,86638,36895,1258,8712,72492,12510,60784,17214,91744,6991,,4.254970677
263,41.9,54043,21666,570,21530,24319,4725,79280,29858,91745,6878,,4.166618203
264,34.2,31319,13135,332,3279,26403,4312,61357,17331,91746,6024,,4.157951527
