Zip Code,Zip Code,Review Count,Price,Average Rating
319,91123,12065,,4.00588479071695
320,91124,11889,,4.144377155353689
321,91125,11359,,4.162470287877454
322,91126,11307,,4.0782258777748295
323,91129,10807,,4.216156195058758
324,91131,106,,4.452830188679245
325,91182,10125,,4.15362962962963
326,91184,11138,,4.162327168252828
327,91185,735,,3.5421768707482992
328,91188,642,,3.630841121495327
329,91189,3523,,4.035623048538178
330,91191,5599,,3.8546168958742633
331,91199,8678,,4.221479603595299
332,91201,8708,,4.12459807073955
333,91202,6135,,4.199266503667482
334,91203,15103,,4.341058067933523
335,91204,14534,,4.223510389431677
336,91205,9558,,4.167817535049173
337,91206,9549,,4.2815478060529895
338,91207,9886,,4.246156180457212
339,91208,5360,,4.227985074626866
340,91209,15477,,4.302351876978743
341,91210,18295,,4.316425252801312
342,91214,3982,,4.38774485183325
343,91221,4681,,4.128498184148686
344,91222,13018,,4.302965125211246
345,91224,811,,3.7657213316892726
346,91225,1681,,3.9312908982748365
347,91226,1681,,3.9312908982748365
348,91301,7120,,4.249648876404494
349,91302,7651,,4.159783034897399
350,91303,8196,,4.249877989263055
351,91304,4979,,4.386623820044186
352,91305,2734,,4.211777615215801
353,91306,5545,,4.450045085662759
354,91307,7387,,4.24901854609449
355,91308,1248,,4.058092948717949
356,91309,3373,,4.08775570708568
357,91310,1492,,4.21514745308311
358,91311,5350,,4.3932710280373835
359,91313,5529,,3.993308012298788
360,91316,12297,,4.166178742782793
361,91319,2744,,3.737609329446064
362,91320,4763,,4.12376653369725
363,91321,7765,,4.3416613007083065
364,91322,784,,3.579719387755102
365,91324,8366,,4.247728902701411
366,91325,7448,,4.433472073039742
367,91326,8665,,4.08199653779573
368,91327,2246,,3.8873552983081034
369,91328,8829,,4.262090837014385
370,91329,2833,,3.7730321214260503
371,91330,9926,,4.079286721740883
372,91331,4287,,4.489503149055284
373,91333,1154,,3.9228769497400346
374,91334,2185,,4.215331807780321
375,91335,9999,,4.225272527252725
376,91337,2048,,4.265380859375
377,91340,3615,,4.3308437067773164
378,91341,747,,3.8299866131191433
379,91342,4726,,4.458421498095641
380,91343,6044,,4.471624751819987
381,91344,9161,,4.113524724375068
382,91345,5215,,4.261553211888782
